C:\Users\Test\AppData\Local\Programs\Python\Python39\python.exe "C:/Users/Test/Documents/School/2021-H/IDATT2502/Course Work/Project/src/kautenja/jordi/dqn_train.py"
Episode 103 : 798   / 318869    , ended with 0.0  , mean reward 20.0    , (epsilon 0.02              )
Episode 104 : 3470  / 322339    , ended with 0.0  , mean reward 20.0    , (epsilon 0.02              )
Episode 105 : 904   / 323243    , ended with 0.0  , mean reward 20.0    , (epsilon 0.02              )
Episode 106 : 739   / 323982    , ended with 0.0  , mean reward 20.0    , (epsilon 0.02              )
Episode 107 : 919   / 324901    , ended with 0.0  , mean reward 20.0    , (epsilon 0.02              )
Episode 108 : 3132  / 328033    , ended with 0.0  , mean reward 20.0    , (epsilon 0.02              )
Episode 109 : 5576  / 333609    , ended with 0.0  , mean reward 20.0    , (epsilon 0.02              )
Episode 110 : 3099  / 336708    , ended with 0.0  , mean reward 20.0    , (epsilon 0.02              )
Episode 111 : 3714  / 340422    , ended with 0.0  , mean reward 20.0    , (epsilon 0.02              )
Episode 112 : 2402  / 342824    , ended with 0.0  , mean reward 20.0    , (epsilon 0.02              )
Episode 113 : 3098  / 345922    , ended with 0.0  , mean reward 20.0    , (epsilon 0.02              )
Episode 114 : 2780  / 348702    , ended with 0.0  , mean reward 20.0    , (epsilon 0.02              )
Episode 115 : 2566  / 351268    , ended with 0.0  , mean reward 20.0    , (epsilon 0.02              )
Episode 116 : 2310  / 353578    , ended with 0.0  , mean reward 20.0    , (epsilon 0.02              )
Episode 117 : 6321  / 359899    , ended with 0.0  , mean reward 20.0    , (epsilon 0.02              )
Episode 118 : 3276  / 363175    , ended with 0.0  , mean reward 20.0    , (epsilon 0.02              )
Episode 119 : 2090  / 365265    , ended with 0.0  , mean reward 20.0    , (epsilon 0.02              )
Episode 120 : 5491  / 370756    , ended with 0.0  , mean reward 10.0    , (epsilon 0.02              )
Episode 121 : 2067  / 372823    , ended with 0.0  , mean reward 10.0    , (epsilon 0.02              )
Episode 122 : 4366  / 377189    , ended with 0.0  , mean reward 10.0    , (epsilon 0.02              )
Episode 123 : 2423  / 379612    , ended with 0.0  , mean reward 10.0    , (epsilon 0.02              )
Episode 124 : 5949  / 385561    , ended with 0.0  , mean reward 10.0    , (epsilon 0.02              )
Episode 125 : 3119  / 388680    , ended with 0.0  , mean reward 10.0    , (epsilon 0.02              )
Episode 126 : 2201  / 390881    , ended with 0.0  , mean reward 10.0    , (epsilon 0.02              )
Episode 127 : 729   / 391610    , ended with 0.0  , mean reward 10.0    , (epsilon 0.02              )
Episode 128 : 1786  / 393396    , ended with 0.0  , mean reward 10.0    , (epsilon 0.02              )
Episode 129 : 529   / 393925    , ended with 0.0  , mean reward 10.0    , (epsilon 0.02              )
Episode 130 : 668   / 394593    , ended with 0.0  , mean reward 10.0    , (epsilon 0.02              )
Episode 131 : 409   / 395002    , ended with 0.0  , mean reward 10.0    , (epsilon 0.02              )
Episode 132 : 1947  / 396949    , ended with 0.0  , mean reward 10.0    , (epsilon 0.02              )
Episode 133 : 2638  / 399587    , ended with 0.0  , mean reward 10.0    , (epsilon 0.02              )
Episode 134 : 2000  / 401587    , ended with 0.0  , mean reward 10.0    , (epsilon 0.02              )
Episode 135 : 4318  / 405905    , ended with 0.0  , mean reward 10.0    , (epsilon 0.02              )
Episode 136 : 671   / 406576    , ended with 0.0  , mean reward 10.0    , (epsilon 0.02              )
Episode 137 : 2553  / 409129    , ended with 0.0  , mean reward 10.0    , (epsilon 0.02              )
Episode 138 : 641   / 409770    , ended with 0.0  , mean reward 10.0    , (epsilon 0.02              )
Episode 139 : 716   / 410486    , ended with 0.0  , mean reward 10.0    , (epsilon 0.02              )
Episode 140 : 1315  / 411801    , ended with 0.0  , mean reward 10.0    , (epsilon 0.02              )
Episode 141 : 4918  / 416719    , ended with 0.0  , mean reward 10.0    , (epsilon 0.02              )
Episode 142 : 2127  / 418846    , ended with 0.0  , mean reward 10.0    , (epsilon 0.02              )
Episode 143 : 943   / 419789    , ended with 0.0  , mean reward 10.0    , (epsilon 0.02              )
Episode 144 : 3199  / 422988    , ended with 0.0  , mean reward 10.0    , (epsilon 0.02              )
Episode 145 : 2751  / 425739    , ended with 0.0  , mean reward 10.0    , (epsilon 0.02              )
Episode 146 : 5465  / 431204    , ended with 0.0  , mean reward 10.0    , (epsilon 0.02              )
Episode 147 : 4635  / 435839    , ended with 0.0  , mean reward 10.0    , (epsilon 0.02              )
Episode 148 : 3166  / 439005    , ended with 0.0  , mean reward 10.0    , (epsilon 0.02              )
Episode 149 : 3965  / 442970    , ended with 0.0  , mean reward 10.0    , (epsilon 0.02              )
Episode 150 : 3952  / 446922    , ended with 0.0  , mean reward 10.0    , (epsilon 0.02              )
Episode 151 : 4416  / 451338    , ended with 0.0  , mean reward 10.0    , (epsilon 0.02              )
Episode 152 : 2470  / 453808    , ended with 0.0  , mean reward 10.0    , (epsilon 0.02              )
Episode 153 : 2561  / 456369    , ended with 0.0  , mean reward 10.0    , (epsilon 0.02              )
Episode 154 : 1785  / 458154    , ended with 0.0  , mean reward 10.0    , (epsilon 0.02              )
Episode 155 : 801   / 458955    , ended with 0.0  , mean reward 10.0    , (epsilon 0.02              )
Episode 156 : 2585  / 461540    , ended with 0.0  , mean reward 10.0    , (epsilon 0.02              )
Episode 157 : 1658  / 463198    , ended with 0.0  , mean reward 10.0    , (epsilon 0.02              )
Episode 158 : 1059  / 464257    , ended with 0.0  , mean reward 10.0    , (epsilon 0.02              )
Episode 159 : 856   / 465113    , ended with 0.0  , mean reward 10.0    , (epsilon 0.02              )
Episode 160 : 586   / 465699    , ended with 0.0  , mean reward 10.0    , (epsilon 0.02              )
Episode 161 : 4469  / 470168    , ended with 0.0  , mean reward 10.0    , (epsilon 0.02              )
Episode 162 : 3205  / 473373    , ended with 0.0  , mean reward 10.0    , (epsilon 0.02              )
Episode 163 : 2645  / 476018    , ended with 0.0  , mean reward 10.0    , (epsilon 0.02              )
Episode 164 : 5108  / 481126    , ended with 0.0  , mean reward 10.0    , (epsilon 0.02              )
Episode 165 : 2766  / 483892    , ended with 0.0  , mean reward 10.0    , (epsilon 0.02              )
Episode 166 : 3027  / 486919    , ended with 0.0  , mean reward 10.0    , (epsilon 0.02              )
Episode 167 : 3655  / 490574    , ended with 0.0  , mean reward 10.0    , (epsilon 0.02              )
Episode 168 : 3585  / 494159    , ended with 0.0  , mean reward 10.0    , (epsilon 0.02              )
Episode 169 : 2840  / 496999    , ended with 0.0  , mean reward 10.0    , (epsilon 0.02              )
Episode 170 : 2504  / 499503    , ended with 0.0  , mean reward 10.0    , (epsilon 0.02              )
Episode 171 : 4378  / 503881    , ended with 0.0  , mean reward 10.0    , (epsilon 0.02              )
Episode 172 : 3490  / 507371    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 173 : 3442  / 510813    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 174 : 3118  / 513931    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 175 : 3294  / 517225    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 176 : 2886  / 520111    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 177 : 2471  / 522582    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 178 : 3145  / 525727    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 179 : 3821  / 529548    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 180 : 2797  / 532345    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 181 : 2838  / 535183    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 182 : 2354  / 537537    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 183 : 1117  / 538654    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 184 : 1617  / 540271    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 185 : 2209  / 542480    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 186 : 2314  / 544794    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 187 : 2220  / 547014    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 188 : 3961  / 550975    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 189 : 3132  / 554107    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 190 : 4029  / 558136    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 191 : 4668  / 562804    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 192 : 2357  / 565161    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 193 : 2386  / 567547    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 194 : 616   / 568163    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 195 : 1186  / 569349    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 196 : 1743  / 571092    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 197 : 1962  / 573054    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 198 : 2595  / 575649    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 199 : 2338  / 577987    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 200 : 3114  / 581101    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 201 : 6377  / 587478    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 202 : 3438  / 590916    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 203 : 4191  / 595107    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 204 : 3980  / 599087    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 205 : 3737  / 602824    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 206 : 2692  / 605516    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 207 : 722   / 606238    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 208 : 2897  / 609135    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 209 : 1568  / 610703    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 210 : 722   / 611425    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 211 : 1567  / 612992    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 212 : 2759  / 615751    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 213 : 2605  / 618356    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 214 : 2433  / 620789    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 215 : 3457  / 624246    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 216 : 3946  / 628192    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 217 : 2812  / 631004    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 218 : 3541  / 634545    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 219 : 2664  / 637209    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 220 : 3961  / 641170    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 221 : 2115  / 643285    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 222 : 2083  / 645368    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 223 : 2410  / 647778    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 224 : 4350  / 652128    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 225 : 2583  / 654711    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 226 : 3634  / 658345    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
